id,road_length,cum_sum,cover_percentage,rank
832810fffffffff,523717.6750857762,523717.6750857762,0.030288162910991515,1
8326d4fffffffff,514163.04659342923,1037880.7216792054,0.06002375301778502,2
83268dfffffffff,481335.80607726384,1519216.5277564693,0.08786084541107465,3
83279bfffffffff,475848.39651262754,1995064.924269097,0.11538058446160032,4
8348c1fffffffff,377711.9990019927,2372776.92327109,0.13722480149577795,5
832785fffffffff,366861.1371220454,2739638.060393135,0.1584414806636984,6
832622fffffffff,364983.96635915013,3104622.026752285,0.17954959741987853,7
832611fffffffff,355510.09154280607,3460132.118295091,0.20010981159899027,8
832796fffffffff,350393.267499308,3810525.3857943993,0.22037410450679693,9
83271bfffffffff,348093.2747642943,4158618.6605586936,0.24050538194087376,10
832791fffffffff,343738.3311133394,4502356.991672033,0.26038479993036207,11
8348d6fffffffff,339381.872082494,4841738.863754528,0.28001227083630065,12
832793fffffffff,338160.8183111032,5179899.682065631,0.29956912454272444,13
832610fffffffff,337572.5391087982,5517472.221174429,0.3190919562996052,14
83488dfffffffff,335297.6906024439,5852769.911776873,0.33848322674886533,15
83278cfffffffff,334102.99259364366,6186872.904370517,0.3578054042313585,16
83271dfffffffff,330914.19176948845,6517787.096140005,0.3769431638042654,17
830d5efffffffff,327464.5097431819,6845251.605883187,0.39588141792571546,18
834888fffffffff,319373.48424896464,7164625.090132152,0.4143517437912676,19
832786fffffffff,311222.9692769464,7475848.059409098,0.43235070094611017,20
83289dfffffffff,310434.11736179027,7786282.176770888,0.45030403643024064,21
830c62fffffffff,286169.9752236461,8072452.151994535,0.46685410384659926,22
8348cefffffffff,278994.3782521323,8351446.530246667,0.4829891849823798,23
8348d3fffffffff,276931.5578657702,8628378.088112436,0.4990049670322397,24
832602fffffffff,272612.7102129004,8900990.798325337,0.5147709771772724,25
83261efffffffff,267703.20373964845,9168694.002064986,0.5302530558474887,26
832708fffffffff,264322.5702553303,9433016.572320316,0.5455396223503937,27
830c66fffffffff,259994.3800040753,9693010.95232439,0.5605758766380036,28
832794fffffffff,255345.23294618836,9948356.18527058,0.5753432568161742,29
830c64fffffffff,254100.5449141411,10202456.73018472,0.5900386529546962,30
832632fffffffff,234855.11019416607,10437311.840378886,0.6036210279182196,31
8327aefffffffff,233663.8038340784,10670975.644212965,0.6171345060641871,32
8348c3fffffffff,232503.59158921606,10903479.235802181,0.6305808856584817,33
83299cfffffffff,224953.97645980952,11128433.21226199,0.6435906483810672,34
83279dfffffffff,220469.21507173407,11348902.427333724,0.6563410439102183,35
8348cbfffffffff,219155.41917510788,11568057.84650883,0.6690154586847723,36
8327a8fffffffff,218678.05880301876,11786735.905311849,0.6816622662781964,37
832630fffffffff,209871.57053145347,11996607.475843303,0.6937997682588222,38
830d5cfffffffff,202221.00226115366,12198828.478104457,0.7054948149450099,39
834886fffffffff,197337.67361608526,12396166.151720542,0.716907444098649,40
830c71fffffffff,195734.84194101667,12591900.993661558,0.7282273766922849,41
832614fffffffff,191985.46102384105,12783886.4546854,0.7393304713493051,42
8328a8fffffffff,185285.08502624568,12969171.539711645,0.7500460631790685,43
830c2dfffffffff,179471.9383975145,13148643.478109159,0.760425463315306,44
8328acfffffffff,163885.83507027428,13312529.313179433,0.7699034723792533,45
832686fffffffff,157382.22387211307,13469911.537051547,0.7790053581140665,46
8328b5fffffffff,148345.9804365952,13618257.517488142,0.787584650806295,47
8348d9fffffffff,147893.9531138182,13766151.470601961,0.7961378014035672,48
832789fffffffff,143320.06068425486,13909471.531286215,0.8044264300921194,49
83278dfffffffff,136868.9817670425,14046340.513053257,0.8123419735508021,50
832613fffffffff,133257.00099930176,14179597.514052559,0.8200486253353461,51
832788fffffffff,132321.09448644097,14311918.608539,0.8277011508410198,52
832782fffffffff,130485.0040990042,14442403.612638004,0.8352474897361978,53
830c75fffffffff,117915.02162798916,14560318.634265993,0.8420668688685455,54
830d5bfffffffff,115662.59623983185,14675981.230505824,0.8487559834894078,55
8327acfffffffff,115605.7082331373,14791586.93873896,0.8554418081063301,56
832635fffffffff,113906.81744792055,14905493.756186882,0.8620293807769873,57
832981fffffffff,112946.09264408596,15018439.848830968,0.8685613918526184,58
83270efffffffff,111496.66178608236,15129936.510617051,0.8750095779972916,59
832780fffffffff,110082.98332593337,15240019.493942985,0.8813760068793373,60
83278afffffffff,107252.5476462136,15347272.041589199,0.887578743182242,61
832983fffffffff,102342.5830083912,15449614.62459759,0.8934975215133001,62
832795fffffffff,100603.77989443805,15550218.404492028,0.8993157396484913,63
832882fffffffff,95399.28358921493,15645617.688081242,0.9048329661626981,64
830d59fffffffff,94090.39816963379,15739708.086250875,0.9102744959099138,65
8312c9fffffffff,90835.56923866534,15830543.65548954,0.9155277891442175,66
832783fffffffff,90814.9940798005,15921358.64956934,0.9207798924554131,67
830d58fffffffff,87554.1585429231,16008912.808112264,0.9258434118736732,68
830c63fffffffff,86887.51048593674,16095800.3185982,0.9308683770366257,69
830c44fffffffff,86264.8401745179,16182065.158772718,0.9358573313091134,70
832895fffffffff,84480.06626254103,16266545.22503526,0.9407430667566943,71
8348f6fffffffff,84269.21379978732,16350814.438835047,0.9456166079743572,72
8327b3fffffffff,74575.41761258387,16425389.856447631,0.9499295279028954,73
832ba8fffffffff,74111.69387943104,16499501.550327063,0.9542156292980071,74
83281dfffffffff,72491.05360274181,16571992.603929805,0.9584080042083052,75
830c50fffffffff,70613.57366535053,16642606.177595155,0.9624917988263751,76
8312cafffffffff,65784.96633886201,16708391.143934017,0.9662963406097687,77
830c65fffffffff,57410.37768370101,16765801.521617718,0.9696165548297312,78
8348edfffffffff,52719.59163688839,16818521.113254607,0.9726654868327183,79
830c60fffffffff,52229.34288826957,16870750.456142876,0.9756860662811297,80
8348ecfffffffff,43271.89248103662,16914022.348623913,0.9781886095239521,81
83271cfffffffff,42008.3630538865,16956030.7116778,0.9806180790727732,82
8348c4fffffffff,40026.41446659888,16996057.126144398,0.9829329265942142,83
832803fffffffff,32503.349885054275,17028560.476029452,0.98481269274171,84
83488cfffffffff,32041.21547871328,17060601.691508166,0.9866657322713126,85
834471fffffffff,31250.116950693664,17091851.80845886,0.9884730202018472,86
834473fffffffff,26779.47598477366,17118631.284443635,0.9900217575652844,87
832999fffffffff,23313.257065505855,17141944.54150914,0.9913700330991781,88
8344d2fffffffff,21347.613710558162,17163292.1552197,0.9926046295861507,89
8312ddfffffffff,21118.905420229985,17184411.06063993,0.9938259991871766,90
832691fffffffff,20711.17074068183,17205122.23138061,0.9950237882695642,91
831390fffffffff,19777.844084892575,17224900.075465504,0.9961676002739487,92
832ad1fffffffff,18562.052849481825,17243462.128314987,0.9972410994270476,93
8327a3fffffffff,17133.44551322063,17260595.57382821,0.9982319779358665,94
8328a5fffffffff,15285.478830112435,17275881.052658323,0.9991159829924138,95
832770fffffffff,10687.74866973606,17286568.80132806,0.9997340875328184,96
8328a1fffffffff,4171.818074933903,17290740.619402993,0.9999753562764558,97
8328defffffffff,426.11873284925684,17291166.738135844,1.0,98
